Image Name  :	C - 0.00 - 3600.00 Secs [X1]																																																																																															
Image Info  : 	"1280 x 1024, 16 bits"																																																																																															
Date        :	"Monday, 14 May 1832"																																																																																															
Time        : 	08:32:12																																																																																															
																																																																																																
Total Intensity																																																																																																
																																																																																																
Frame	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96
																																																																																																
1	1499	1466	1564	4012	1573	2895	1863	3013	1711	1039	1318	2296	2189	1900	1778	2274	2045	1661	2103	1847	1362	1182	1339	2007	2715	1757	1990	1444	1793	1539	2272	1616	1599	1467	2282	1813	1499	923	2103	1467	2097	2799	2195	5043	1105	995	1450	971	1776	1687	2403	2364	888	966	1668	1604	1596	1530	2403	2214	1403	1101	1076	1138	2553	2210	2037	1864	1985	1538	1545	1219	1289	2510	3853	2116	2160	1797	2843	1187	948	1624	2022	2390	1867	1452	1374	1812	1274	1324	2309	2193	2862	2290	1425	2263
2	1311	1629	1372	3249	2014	2949	1847	2763	1386	767	947	2193	1710	1958	1509	1590	1961	1550	2026	1687	1327	1191	1053	2123	2111	1633	2228	1821	1658	1881	1749	1656	1540	1456	2401	1930	1805	1077	1947	1377	2089	2675	2524	1752	1081	986	1304	751	1342	1637	2375	833	1039	898	2405	1478	1379	1312	2239	2251	1220	1034	1161	996	2151	1651	2148	2125	1793	1417	1586	991	1284	2284	3619	1640	2352	1887	2564	1252	950	1552	1781	1946	1646	1737	1414	2242	1203	1459	2318	2204	2571	1825	1179	2552
3	1252	1362	1316	2347	1748	1954	1863	2580	1414	737	959	3251	1718	1793	1320	1671	1570	1640	2039	1579	1250	1053	1131	2628	2125	2247	2120	1822	1755	1637	1846	1607	1758	1462	2836	2136	1636	1301	2281	1386	1959	2586	2687	1729	951	940	1298	596	1372	1544	3420	1591	826	923	1297	1494	1268	1166	2340	1927	1114	1181	1065	1123	1822	1691	1909	1095	1796	1453	1459	966	1325	2187	2996	1923	1570	2686	2532	6883	888	1593	1704	1968	1723	3167	1357	11535	1198	1370	1954	2191	2497	1777	1138	14068
4	1317	1360	1415	2504	1971	2644	2970	4417	1251	705	1000	2115	1531	1617	1624	1461	1562	1468	2312	1551	1320	1145	1556	2027	2194	1857	2242	1639	1708	1496	2444	1545	2754	2271	4165	1741	1621	961	2531	1203	2004	2372	2221	1625	861	840	1548	599	1242	1418	2268	918	789	891	1358	1762	1107	1059	2307	1730	1027	1180	1125	881	1767	1563	1859	1009	1800	1299	1470	1231	1020	2030	2816	2965	2023	1733	2719	22198	831	1535	1769	1924	1680	1565	1355	32314	1018	1132	1881	1996	2583	1609	1226	34445
5	1122	1552	2964	1553	1313	1658	7022	2636	1233	658	919	2208	1618	1662	4508	1530	1597	1489	4264	1579	1284	1136	3398	1681	2307	1513	2342	1645	1665	1853	4823	1554	6650	5453	10526	1641	1476	944	6143	1153	1933	2227	2114	1512	929	848	3384	627	1367	1441	1961	895	885	872	2276	1528	1107	1120	2304	1951	1084	1024	1963	827	1527	1482	1800	980	1588	1171	2337	1440	1238	2583	3805	1643	1824	1421	2460	26234	828	1396	1690	1912	1726	1274	1427	36556	975	1212	2306	2023	2373	1618	1113	36001
6	1196	1263	5897	2273	1318	1824	13194	2223	1193	714	943	2161	1533	2483	10582	1608	1487	1307	7515	1654	1200	1081	8022	1677	1964	1544	2077	1522	1701	1550	10484	1535	14517	12545	17668	1840	1369	954	14076	1024	2018	2026	2064	1567	1025	745	7779	658	1200	1408	2168	918	970	882	3414	1275	995	1013	2178	1744	1013	849	3786	894	1335	2656	1727	941	1650	1158	5459	1040	965	1857	2908	1527	1398	1491	2435	19249	800	1471	1716	1845	1428	1243	1513	26845	906	1409	1845	2181	2272	1419	1018	25990
7	1196	1326	11273	1850	1594	1629	21606	2076	1175	632	945	2721	1452	1830	17889	1515	1608	1194	11260	1498	1205	1118	13611	1689	1860	2277	2776	1321	1795	1815	15466	1699	19788	16835	21207	1686	1330	1053	22730	1057	1798	2017	2043	1537	766	811	13371	649	1194	1269	1834	907	818	1194	6898	1282	980	994	2057	1816	1079	878	6037	821	1320	1417	1567	943	1603	1183	8644	1060	931	1655	2681	2050	1287	1296	1995	13464	741	1485	1519	1731	1530	1175	1413	19066	831	1082	1617	1917	2088	1404	1164	17803
8	1294	1206	13363	1044	1673	1279	24103	2046	1164	652	1264	1844	1939	1532	19687	1353	1442	1251	15994	1498	1300	1096	17648	1631	1805	1454	1779	1154	1889	1439	18874	1496	18878	16631	20127	1640	1274	1064	25452	959	1775	2722	1920	1594	804	830	15970	677	1212	1228	1808	992	819	958	9110	1869	919	977	2011	1695	1024	840	8478	787	1640	1290	1542	896	1648	1088	11878	912	902	1667	2610	1449	1385	1731	2146	8858	701	1235	1468	1833	1403	1185	1317	13284	760	1043	1576	1830	2002	2233	935	13687
9	1138	1114	14245	972	1561	2119	22559	1858	1048	646	1362	1955	1333	1592	17634	1268	1360	1234	17147	1497	1265	1078	16010	1566	1950	1401	1729	1285	2208	1472	18708	1458	15696	13714	17830	1559	1271	1115	23862	957	2092	2101	1838	1542	816	783	16749	600	1235	1164	1869	1081	885	953	10985	1204	841	966	1909	2150	986	864	8490	810	1028	1338	1498	858	1569	1131	14013	896	862	1646	2516	1318	1280	1179	2167	7922	656	1186	1455	1683	1345	1032	1194	11434	732	1047	1479	1834	2187	1197	947	11138
10	1054	1226	14052	1037	1184	1067	19746	1843	987	599	1619	3140	1367	1448	14975	1203	1311	1278	15683	1552	1362	1052	13664	1657	1896	1414	1725	1370	1872	1550	17270	1438	13998	11747	14074	1527	1268	864	20566	1079	1615	1822	1670	1612	752	804	14980	695	1072	1193	1827	1245	1445	1120	8833	1277	789	978	1869	1906	964	817	8243	744	1001	1264	1439	865	1482	1280	12414	803	865	1645	2273	1567	1360	1078	1986	7739	680	1137	1453	1807	1435	978	1203	10398	728	988	1641	1914	1895	1185	1378	10401
11	1097	1121	13181	1385	1034	1027	16278	1794	921	585	1572	2794	1393	1380	11994	1169	1540	1237	13412	1495	1196	1015	11433	1437	1769	1459	1782	1267	2257	1609	14480	1293	11204	9891	11593	1344	1175	835	17445	1027	1578	1731	1787	1391	780	796	12323	553	1015	1287	1699	1432	1155	1588	8166	1220	739	893	1911	1940	1049	798	7949	737	1195	1158	1427	931	1396	1122	11585	819	889	1585	2448	1343	1232	1338	1864	7249	711	1096	1397	1713	1527	1086	1063	10292	684	991	2010	2096	1850	1124	828	9557
12	1077	1410	12018	921	1125	1055	14344	2343	947	904	1747	1825	1344	1350	10716	1438	1410	1498	14205	1567	1110	1012	9889	1425	1821	1258	1831	1477	1430	1799	11532	1180	10291	8224	9379	1342	1176	826	14137	960	1637	1631	1782	1447	745	716	11936	576	997	1082	1677	2077	1379	1537	8438	1169	834	887	1800	1499	1049	766	6901	700	822	1195	1562	1000	1493	1356	10129	825	756	1375	2287	1221	1531	1097	1688	6490	667	1065	1571	1864	1194	869	952	10434	643	892	1378	2282	2057	1106	975	8933
13	1147	1102	10268	1057	1269	1667	12732	1646	880	550	2153	1662	1222	1294	9618	1210	1393	1214	10717	1541	1160	988	8646	1430	1433	1295	2094	1193	1647	1654	10629	1231	8025	7053	8214	1226	1187	870	12597	947	1360	1987	1567	1462	668	715	9404	510	956	992	1552	1926	1695	2082	7188	1075	782	860	1961	1446	901	814	6533	714	784	1154	1612	875	1361	1094	8775	929	703	1335	2063	1616	1585	1058	1593	5651	660	1014	1273	1960	1254	871	1003	9519	651	835	1347	2109	1839	1100	1018	8297
14	1402	1080	9348	765	1688	2215	11193	1736	885	522	2260	1795	1316	1401	8549	1137	1258	1081	9193	1455	1128	962	7663	1437	1356	1658	1539	1154	1517	1437	9029	1258	7169	6335	7310	1259	1119	745	10752	883	1394	1536	1637	1288	754	967	7890	463	914	1146	1409	2390	1850	2719	6740	1135	733	897	1718	1418	805	746	5956	611	758	1106	2252	802	1292	1225	7784	750	758	1334	1924	1212	1765	1837	1452	4941	615	945	1224	1780	1109	1100	1115	8326	586	817	1462	2142	1510	1038	772	7251
15	1296	1161	7364	732	1186	852	10339	2009	902	513	2031	1696	1161	1371	7276	1098	1274	1062	7852	1509	1080	947	6674	1408	1341	1186	1479	1381	1692	1169	7903	1186	5953	6147	6541	1220	1076	713	9135	794	1270	1396	1513	1297	669	646	7108	453	902	1271	1512	2409	2536	2405	6259	1066	689	907	1729	1270	1018	751	5545	753	863	1217	1302	771	1286	998	6654	1461	608	1321	1897	1435	2391	917	1583	4263	625	929	1228	1675	1119	849	1146	7336	600	952	1302	2144	1625	964	740	6185
